tamano,caso,repeticion,tiempo_segundos
1000,Promedio,14,0.00234659
1000,Promedio,15,0.00201537
1000,Promedio,16,0.00161020
1000,Promedio,17,0.00165134
1000,Promedio,18,0.00190092
1000,Promedio,19,0.00198695
1000,Promedio,20,0.00163311
1000,Promedio,21,0.00168647
1000,Promedio,22,0.00155293
1000,Promedio,23,0.00167545
1000,Promedio,24,0.00158002
1000,Promedio,25,0.00238326
1000,Promedio,26,0.00159219
1000,Promedio,27,0.00203602
1000,Promedio,28,0.00167540
1000,Promedio,29,0.00199827
1000,Promedio,30,0.00166169
2000,Promedio,1,0.00534870
2000,Promedio,2,0.00414358
2000,Promedio,3,0.01022901
2000,Promedio,4,0.00438750
2000,Promedio,5,0.00401393
2000,Promedio,6,0.00359718
2000,Promedio,7,0.00650407
2000,Promedio,8,0.00451589
2000,Promedio,9,0.00529545
2000,Promedio,10,0.00537471
2000,Promedio,11,0.00485649
2000,Promedio,12,0.00497085
2000,Promedio,13,0.00422621
2000,Promedio,14,0.00697970
2000,Promedio,15,0.00599293
2000,Promedio,16,0.00523788
2000,Promedio,17,0.00409490
2000,Promedio,18,0.00447203
2000,Promedio,19,0.00521781
2000,Promedio,20,0.00414745
2000,Promedio,21,0.00553791
2000,Promedio,22,0.00505506
2000,Promedio,23,0.00483460
2000,Promedio,24,0.00479921
2000,Promedio,25,0.00571775
2000,Promedio,26,0.00568640
2000,Promedio,27,0.00422572
2000,Promedio,28,0.00522237
2000,Promedio,29,0.00573983
2000,Promedio,30,0.00413005
100,Peor Caso,1,0.00066502
100,Peor Caso,2,0.00144466
100,Peor Caso,3,0.00051455
100,Peor Caso,4,0.00059863
100,Peor Caso,5,0.00057599
100,Peor Caso,6,0.00106140
100,Peor Caso,7,0.00049831
100,Peor Caso,8,0.00038944
100,Peor Caso,9,0.00041351
100,Peor Caso,10,0.00057367
100,Peor Caso,11,0.00047814
100,Peor Caso,12,0.00036172
100,Peor Caso,13,0.00055320
100,Peor Caso,14,0.00037651
100,Peor Caso,15,0.00056763
100,Peor Caso,16,0.00081899
100,Peor Caso,17,0.00036124
100,Peor Caso,18,0.00047355
100,Peor Caso,19,0.00054307
100,Peor Caso,20,0.00056045
100,Peor Caso,21,0.00040457
100,Peor Caso,22,0.00049166
100,Peor Caso,23,0.00050556
100,Peor Caso,24,0.00037800
100,Peor Caso,25,0.00057109
100,Peor Caso,26,0.00036240
100,Peor Caso,27,0.00039988
100,Peor Caso,28,0.00099281
100,Peor Caso,29,0.00049286
100,Peor Caso,30,0.00192174
200,Peor Caso,1,0.00358041
200,Peor Caso,2,0.00166837
200,Peor Caso,3,0.00272740
200,Peor Caso,4,0.00203888
200,Peor Caso,5,0.00168634
200,Peor Caso,6,0.00197626
200,Peor Caso,7,0.00138369
200,Peor Caso,8,0.00160565
200,Peor Caso,9,0.00178775
200,Peor Caso,10,0.00232313
200,Peor Caso,11,0.00240435
200,Peor Caso,12,0.00250084
200,Peor Caso,13,0.00266956
200,Peor Caso,14,0.00237191
200,Peor Caso,15,0.00232892
200,Peor Caso,16,0.00203164
200,Peor Caso,17,0.00171771
200,Peor Caso,18,0.00291933
200,Peor Caso,19,0.00264062
200,Peor Caso,20,0.00200153
200,Peor Caso,21,0.00242089
200,Peor Caso,22,0.00218213
200,Peor Caso,23,0.00204037
200,Peor Caso,24,0.00231344
200,Peor Caso,25,0.00209845
200,Peor Caso,26,0.00223548
200,Peor Caso,27,0.00190361
200,Peor Caso,28,0.00205925
200,Peor Caso,29,0.00203270
200,Peor Caso,30,0.00231607
500,Peor Caso,1,0.01347413
500,Peor Caso,2,0.01414229
500,Peor Caso,3,0.01162525
500,Peor Caso,4,0.01211411
500,Peor Caso,5,0.01348446
500,Peor Caso,6,0.01575002
500,Peor Caso,7,0.01292463
500,Peor Caso,8,0.01133189
500,Peor Caso,9,0.01180761
500,Peor Caso,10,0.01339212
500,Peor Caso,11,0.01473943
500,Peor Caso,12,0.01601035
500,Peor Caso,13,0.01353019
500,Peor Caso,14,0.01460859
500,Peor Caso,15,0.01320210
500,Peor Caso,16,0.01345104
500,Peor Caso,17,0.01235578
500,Peor Caso,18,0.01424092
500,Peor Caso,19,0.01314919
500,Peor Caso,20,0.01104330
500,Peor Caso,21,0.01318783
500,Peor Caso,22,0.01476391
500,Peor Caso,23,0.01367042
500,Peor Caso,24,0.01143128
500,Peor Caso,25,0.01229499
500,Peor Caso,26,0.01325904
500,Peor Caso,27,0.01234612
500,Peor Caso,28,0.01168742
500,Peor Caso,29,0.01337079
500,Peor Caso,30,0.01272965
1000,Peor Caso,1,0.04795894
1000,Peor Caso,2,0.05191249
1000,Peor Caso,3,0.05148623
1000,Peor Caso,4,0.04881879
1000,Peor Caso,5,0.05291921
1000,Peor Caso,6,0.05169577
1000,Peor Caso,7,0.05011340
1000,Peor Caso,8,0.04946993
1000,Peor Caso,9,0.05133678
1000,Peor Caso,10,0.05060550
1000,Peor Caso,11,0.04902610
1000,Peor Caso,12,0.05301336
1000,Peor Caso,13,0.05217821
1000,Peor Caso,14,0.04879626
1000,Peor Caso,15,0.05150212
1000,Peor Caso,16,0.04956013
1000,Peor Caso,17,0.04935880
1000,Peor Caso,18,0.05307663
1000,Peor Caso,19,0.04991508
1000,Peor Caso,20,0.04926144
1000,Peor Caso,21,0.05019583
1000,Peor Caso,22,0.05046188
1000,Peor Caso,23,0.05051358
1000,Peor Caso,24,0.05173895
1000,Peor Caso,25,0.05037063
1000,Peor Caso,26,0.05152802
1000,Peor Caso,27,0.05358354
1000,Peor Caso,28,0.05090174
1000,Peor Caso,29,0.05724340
1000,Peor Caso,30,0.04995239
2000,Peor Caso,1,0.19388525
2000,Peor Caso,2,0.19197582
2000,Peor Caso,3,0.19574151
2000,Peor Caso,4,0.19013815
2000,Peor Caso,5,0.18885849
2000,Peor Caso,6,0.18964774
2000,Peor Caso,7,0.19374903
2000,Peor Caso,8,0.19925142
2000,Peor Caso,9,0.18850214
2000,Peor Caso,10,0.19203348
2000,Peor Caso,11,0.19533396
2000,Peor Caso,12,0.19508670
2000,Peor Caso,13,0.19937703
2000,Peor Caso,14,0.19480545
2000,Peor Caso,15,0.19815850
2000,Peor Caso,16,0.19689028
2000,Peor Caso,17,0.19167942
2000,Peor Caso,18,0.20383532
2000,Peor Caso,19,0.20066741
2000,Peor Caso,20,0.19661517
2000,Peor Caso,21,0.19740948
2000,Peor Caso,22,0.18902823
2000,Peor Caso,23,0.19722223
2000,Peor Caso,24,0.18987063
2000,Peor Caso,25,0.19491046
2000,Peor Caso,26,0.20059998
2000,Peor Caso,27,0.21383646
2000,Peor Caso,28,0.20528235
2000,Peor Caso,29,0.18941446
2000,Peor Caso,30,0.22777588
